#char	type	display	source
#(	interpunction	unicase	Dutch
#⁽	interpunction	superscript	mathematics
#₍	interpunction	subscript	mathematics
#)	interpunction	unicase	Dutch
#⁾	interpunction	superscript	mathematics
#₎	interpunction	subscript	mathematics
#[	interpunction	unicase	Dutch
#]	interpunction	unicase	Dutch
#{	interpunction	unicase	Dutch
#}	interpunction	unicase	Dutch
#!	interpunction	unicase	Dutch
#?	interpunction	unicase	Dutch
#:	interpunction	unicase	Dutch
#;	interpunction	unicase	Dutch
&	separator	unicase	Dutch
/	separator	unicase	Dutch
,	separator	unicase	Dutch
 	separator	unicase	Dutch
-	separator	unicase	Dutch
·	separator	unicase	Dutch
*	separator	unicase	Dutch
.	character	unicase	Dutch
'	character	unicase	Dutch
#’	character	unicase	Dutch
#⁻	symbol	superscript	mathematics
#₋	symbol	subscript	mathematics
#⁺	symbol	superscript	mathematics
#₊	symbol	subscript	mathematics
+	character	unicase	Dutch
#°	symbol	superscript	mathematics
⁰	numeral	superscript	mathematics
₀	numeral	subscript	mathematics
0	numeral	unicase	mathematics
#↉	numeral	unicase	mathematics
#⅒	numeral	unicase	mathematics
#⅑	numeral	unicase	mathematics
#⅛	numeral	unicase	mathematics
#⅙	numeral	unicase	mathematics
#⅕	numeral	unicase	mathematics
#¼	numeral	unicase	mathematics
#⅓	numeral	unicase	mathematics
#⅜	numeral	unicase	mathematics
#⅖	numeral	unicase	mathematics
#½	numeral	unicase	mathematics
#⅗	numeral	unicase	mathematics
#⅝	numeral	unicase	mathematics
#⅔	numeral	unicase	mathematics
#¾	numeral	unicase	mathematics
#⅘	numeral	unicase	mathematics
#⅚	numeral	unicase	mathematics
#⅞	numeral	unicase	mathematics
¹	numeral	superscript	Dutch
₁	numeral	subscript	Dutch
1	numeral	character	Dutch
²	numeral	superscript	Dutch
₂	numeral	subscript	Dutch
2	numeral	character	Dutch
³	numeral	superscript	Dutch
₃	numeral	subscript	Dutch
3	numeral	character	Dutch
⁴	numeral	superscript	Dutch
₄	numeral	subscript	Dutch
4	numeral	character	Dutch
⁵	numeral	superscript	Dutch
₅	numeral	subscript	Dutch
5	numeral	character	Dutch
⁶	numeral	superscript	Dutch
₆	numeral	subscript	Dutch
6	numeral	character	Dutch
⁷	numeral	superscript	Dutch
₇	numeral	subscript	Dutch
7	numeral	character	Dutch
⁸	numeral	superscript	Dutch
₈	numeral	subscript	Dutch
8	numeral	character	Dutch
⁹	numeral	superscript	Dutch
₉	numeral	subscript	Dutch
9	numeral	character	Dutch
α	symbol	lowercase	Greek
#Α	symbol	uppercase	Greek
#ₐ	symbol	subscript	mathematics
a	character	lowercase	Dutch
A	character	uppercase	Dutch
ä	diacritic	lowercase	Dutch and German
Ä	diacritic	uppercase	Dutch and German
á	diacritic	lowercase	Dutch
Á	diacritic	uppercase	Dutch
â	diacritic	lowercase	Frisian
Â	diacritic	uppercase	Frisian
à	diacritic	lowercase	French
À	diacritic	uppercase	French
å	diacritic	lowercase	Scandinavian
Å	diacritic	uppercase	Scandinavian
ã	diacritic	lowercase	Portuguese
Ã	diacritic	uppercase	Portuguese
β	symbol	lowercase	Greek
#Β	symbol	uppercase	Greek
b	character	lowercase	Dutch
B	character	uppercase	Dutch
c	character	lowercase	Dutch
C	character	uppercase	Dutch
ç	diacritic	lowercase	French and Portuguese
Ç	diacritic	uppercase	French and Portuguese
δ	symbol	lowercase	Greek
Δ	symbol	uppercase	Greek
d	character	lowercase	Dutch
D	character	uppercase	Dutch
ε	symbol	lowercase	Greek
#Ε	symbol	uppercase	Greek
η	symbol	lowercase	Greek
#Η	symbol	uppercase	Greek
#ₑ	symbol	subscript	mathematics
e	character	lowercase	Dutch
E	character	uppercase	Dutch
ë	diacritic	lowercase	Dutch
Ë	diacritic	uppercase	Dutch
é	diacritic	lowercase	Dutch and French
É	diacritic	uppercase	Dutch and French
ê	diacritic	lowercase	French and Frisian
Ê	diacritic	uppercase	French and Frisian
è	diacritic	lowercase	French
È	diacritic	uppercase	French
φ	symbol	lowercase	Greek
Φ	symbol	uppercase	Greek
f	character	lowercase	Dutch
F	character	uppercase	Dutch
γ	symbol	lowercase	Greek
Γ	symbol	uppercase	Greek
χ	symbol	lowercase	Greek
#Χ	symbol	uppercase	Greek
g	character	lowercase	Dutch
G	character	uppercase	Dutch
#ₕ	symbol	subscript	mathematics
h	character	lowercase	Dutch
H	character	uppercase	Dutch
ι	symbol	lowercase	Greek
#ⁱ	character	superscript	Dutch
i	character	uppercase	Dutch
#Ι	symbol	lowercase	Greek
I	character	uppercase	Dutch
ï	diacritic	lowercase	Dutch
Ï	diacritic	uppercase	Dutch
í	diacritic	lowercase	Dutch
Í	diacritic	uppercase	Dutch
î	diacritic	lowercase	French
Î	diacritic	uppercase	French
ì	diacritic	lowercase	Latin
Ì	diacritic	uppercase	Latin
j	character	lowercase	Dutch
J	character	uppercase	Dutch
κ	symbol	lowercase	Greek
#Κ	symbol	uppercase	Greek
#ₖ	symbol	subscript	mathematics
k	character	lowercase	Dutch
K	character	uppercase	Dutch
λ	symbol	lowercase	Greek
Λ	symbol	uppercase	Greek
#ₗ	symbol	subscript	mathematics
l	character	lowercase	Dutch
L	character	uppercase	Dutch
μ	symbol	lowercase	Greek
#Μ	symbol	uppercase	Greek
#ₘ	symbol	subscript	mathematics
m	character	lowercase	Dutch
M	character	uppercase	Dutch
ν	symbol	lowercase	Greek
#Ν	symbol	uppercase	Greek
#ⁿ	symbol	superscript	mathematics
#ₙ	symbol	subscript	mathematics
n	character	lowercase	Dutch
N	character	uppercase	Dutch
ñ	diacritic	lowercase	Spanish
Ñ	diacritic	uppercase	Spanish
ω	symbol	lowercase	Greek
Ω	symbol	uppercase	Greek
#ο	symbol	lowercase	Greek
#Ο	symbol	uppercase	Greek
#ₒ	symbol	subscript	mathematics
o	character	lowercase	Dutch
O	character	uppercase	Dutch
ö	diacritic	lowercase	Dutch and German
Ö	diacritic	uppercase	Dutch and German
ó	diacritic	lowercase	Dutch
Ó	diacritic	uppercase	Dutch
ô	diacritic	lowercase	French and Frisian
Ô	diacritic	uppercase	French and Frisian
ò	diacritic	lowercase	Latin
Ò	diacritic	uppercase	Latin
ø	diacritic	lowercase	Scandinavian
Ø	diacritic	uppercase	Scandinavian
π	symbol	lowercase	Greek
Π	symbol	uppercase	Greek
ψ	symbol	lowercase	Greek
Ψ	symbol	uppercase	Greek
#ₚ	symbol	subscript	mathematics
p	character	lowercase	Dutch
P	character	uppercase	Dutch
q	character	lowercase	Dutch
Q	character	uppercase	Dutch
ρ	symbol	lowercase	Greek
#Ρ	symbol	uppercase	Greek
r	character	lowercase	Dutch
R	character	uppercase	Dutch
σ	symbol	lowercase	Greek
Σ	symbol	uppercase	Greek
ς	symbol	lowercase	Greek
#ₛ	symbol	subscript	mathematics
s	character	lowercase	Dutch
S	character	uppercase	Dutch
τ	symbol	lowercase	Greek
#Τ	symbol	uppercase	Greek
θ	symbol	lowercase	Greek
Θ	symbol	uppercase	Greek
#ₜ	symbol	subscript	mathematics
t	character	lowercase	Dutch
T	character	uppercase	Dutch
υ	symbol	lowercase	Greek
#Υ	symbol	uppercase	Greek
u	character	lowercase	Dutch
U	character	uppercase	Dutch
ü	diacritic	lowercase	Dutch and German
Ü	diacritic	uppercase	Dutch and German
ú	diacritic	lowercase	Dutch
Ú	diacritic	uppercase	Dutch
û	diacritic	lowercase	French and Frisian
Û	diacritic	uppercase	French and Frisian
ù	diacritic	lowercase	Latin
Ù	diacritic	uppercase	Latin
v	character	lowercase	Dutch
V	character	uppercase	Dutch
w	character	lowercase	Dutch
W	character	uppercase	Dutch
ξ	symbol	lowercase	Greek
Ξ	symbol	uppercase	Greek
#ₓ	symbol	subscript	mathematics
x	character	lowercase	Dutch
X	character	uppercase	Dutch
y	character	lowercase	Dutch
Y	character	uppercase	Dutch
ζ	symbol	lowercase	Greek
#Ζ	symbol	uppercase	Greek
z	character	lowercase	Dutch
Z	character	uppercase	Latin
